,Region,Major region,Year,variable,value
135,Hampshire,South Central,2014,Total admissions,4909
136,Isle Of Wight,South Central,2014,Total admissions,483
137,Milton Keynes,South Central,2014,Total admissions,1156
138,Oxfordshire,South Central,2014,Total admissions,2465
139,Portsmouth,South Central,2014,Total admissions,952
140,Southampton,South Central,2014,Total admissions,2351
141,Bath And North East Somerset,South West,2014,Total admissions,1067
142,Bournemouth & Poole,South West,2014,Total admissions,1257
143,Bristol,South West,2014,Total admissions,2609
144,Cornwall & Isles Of Scilly,South West,2014,Total admissions,7388
145,Devon,South West,2014,Total admissions,5367
146,Dorset,South West,2014,Total admissions,1453
147,Gloucestershire,South West,2014,Total admissions,1369
148,North Somerset,South West,2014,Total admissions,1221
149,Plymouth,South West,2014,Total admissions,4851
150,Somerset,South West,2014,Total admissions,3565
151,South Gloucestershire,South West,2014,Total admissions,1396
152,Swindon,South West,2014,Total admissions,834
153,Torbay,South West,2014,Total admissions,1243
154,Wiltshire,South West,2014,Total admissions,2730
155,Unknown,England,2015,Total admissions,84
156,Darlington,North East,2015,Total admissions,383
157,Durham,North East,2015,Total admissions,2521
158,Gateshead,North East,2015,Total admissions,1363
159,Hartlepool,North East,2015,Total admissions,506
160,Middlesbrough,North East,2015,Total admissions,505
161,Newcastle-Upon-Tyne,North East,2015,Total admissions,2391
162,North Tyneside,North East,2015,Total admissions,2922
163,Northumberland,North East,2015,Total admissions,4463
164,Redcar & Cleveland,North East,2015,Total admissions,541
165,South Tyneside,North East,2015,Total admissions,637
166,Stockton-On-Tees,North East,2015,Total admissions,838
167,Sunderland,North East,2015,Total admissions,1754
168,Blackburn With Darwen,North West,2015,Total admissions,1112
169,Blackpool,North West,2015,Total admissions,703
170,Bolton,North West,2015,Total admissions,1175
171,Bury,North West,2015,Total admissions,898
172,Cheshire East,North West,2015,Total admissions,1939
173,Cheshire West And Chester,North West,2015,Total admissions,3122
174,Cumbria,North West,2015,Total admissions,2750
175,Halton,North West,2015,Total admissions,1158
176,Knowsley,North West,2015,Total admissions,1667
177,Lancashire,North West,2015,Total admissions,9348
178,Liverpool,North West,2015,Total admissions,3820
179,Manchester,North West,2015,Total admissions,2722
180,Oldham Metropolitian,North West,2015,Total admissions,1287
181,Rochdale,North West,2015,Total admissions,1341
182,Salford,North West,2015,Total admissions,2597
183,Sefton,North West,2015,Total admissions,2672
184,St Helens,North West,2015,Total admissions,1715
185,Stockport,North West,2015,Total admissions,1528
186,Tameside,North West,2015,Total admissions,1812
187,Trafford,North West,2015,Total admissions,857
188,Warrington,North West,2015,Total admissions,976
189,Wigan,North West,2015,Total admissions,1754
190,Wirral,North West,2015,Total admissions,8895
191,Yorkshire And The Humber,North West,2015,Total admissions,36507
192,Barnsley,North West,2015,Total admissions,808
193,Calderdale,North West,2015,Total admissions,1424
194,City Of Bradford,North West,2015,Total admissions,9809
195,Doncaster,North West,2015,Total admissions,955
196,East Riding Of Yorkshire,North West,2015,Total admissions,1429
197,Kingston-Upon-Hull,North West,2015,Total admissions,1119
198,Kirklees,North West,2015,Total admissions,2303
199,Leeds,North West,2015,Total admissions,5094
200,North East Lincolnshire,North West,2015,Total admissions,1965
201,North Lincolnshire,North West,2015,Total admissions,1112
202,Rotherham,North Yorkshire,2015,Total admissions,1700
203,Sheffield,North Yorkshire,2015,Total admissions,3041
204,Wakefield,North Yorkshire,2015,Total admissions,1988
205,York,North Yorkshire,2015,Total admissions,1057
206,Derby,East Midlands,2015,Total admissions,2375
207,Derbyshire,East Midlands,2015,Total admissions,4879
208,Leicester,East Midlands,2015,Total admissions,953
209,Leicestershire,East Midlands,2015,Total admissions,2062
210,Lincolnshire,East Midlands,2015,Total admissions,5750
211,Northamptonshire,East Midlands,2015,Total admissions,3514
212,Nottingham,East Midlands,2015,Total admissions,1954
213,Nottinghamshire,East Midlands,2015,Total admissions,4324
214,Rutland,East Midlands,2015,Total admissions,121
215,Birmingham,West Midlands,2015,Total admissions,7661
216,Coventry,West Midlands,2015,Total admissions,4909
217,Dudley,West Midlands,2015,Total admissions,3803
218,Herefordshire,West Midlands,2015,Total admissions,563
219,Sandwell,West Midlands,2015,Total admissions,2458
220,Shropshire,West Midlands,2015,Total admissions,1713
221,Solihull,West Midlands,2015,Total admissions,715
222,Staffordshire,West Midlands,2015,Total admissions,4803
223,Stoke-On-Trent,West Midlands,2015,Total admissions,858
224,Telford And Wrekin,West Midlands,2015,Total admissions,1309
225,Walsall,West Midlands,2015,Total admissions,1419
226,Warwickshire,West Midlands,2015,Total admissions,5354
227,Wolverhampton,West Midlands,2015,Total admissions,1287
228,Worcestershire,West Midlands,2015,Total admissions,8830
229,East Of England,West Midlands,2015,Total admissions,40989
230,Bedford,West Midlands,2015,Total admissions,685
231,Cambridgeshire,West Midlands,2015,Total admissions,3397
232,Central Bedfordshire,West Midlands,2015,Total admissions,2275
233,Essex,West Midlands,2015,Total admissions,7053
234,Hertfordshire,West Midlands,2015,Total admissions,10970
235,Luton,West Midlands,2015,Total admissions,3429
236,Norfolk,West Midlands,2015,Total admissions,4957
237,Peterborough,West Midlands,2015,Total admissions,758
238,Southend-On-Sea,West Midlands,2015,Total admissions,547
239,Suffolk,West Midlands,2015,Total admissions,5399
240,Thurrock,West Midlands,2015,Total admissions,1519
241,Corporation Of The Of London,London,2015,Total admissions,9
242,Barking And Dagenham,London,2015,Total admissions,1197
243,Barnet,London,2015,Total admissions,1442
244,Bexley,London,2015,Total admissions,981
245,Brent,London,2015,Total admissions,3467
246,Bromley,London,2015,Total admissions,776
247,Camden,London,2015,Total admissions,964
248,Croydon,London,2015,Total admissions,1959
249,Ealing,London,2015,Total admissions,2297
250,Enfield,London,2015,Total admissions,2059
251,Greenwich,London,2015,Total admissions,1144
252,Hackney,London,2015,Total admissions,1552
253,Hammersmith And Fulham,London,2015,Total admissions,560
254,Haringey,London,2015,Total admissions,1656
255,Harrow,London,2015,Total admissions,2563
256,Havering,London,2015,Total admissions,1307
257,Hillingdon,London,2015,Total admissions,2266
258,Hounslow,London,2015,Total admissions,762
259,Islington,London,2015,Total admissions,1548
260,Lambeth,London,2015,Total admissions,1216
261,Lewisham,London,2015,Total admissions,829
262,Merton,London,2015,Total admissions,702
263,Newham,London,2015,Total admissions,1598
264,Redbridge,London,2015,Total admissions,1510
265,Richmond Upon Thames,London,2015,Total admissions,328
266,Southwark,London,2015,Total admissions,1350
267,Sutton,London,2015,Total admissions,934
268,Tower Hamlets,London,2015,Total admissions,893
269,Waltham Forest,London,2015,Total admissions,2251
270,Wandsworth,London,2015,Total admissions,801
271,Royal Of Kensington And Chelsea,London,2015,Total admissions,394
272,Royal Of Kingston-Upon-Thames,London,2015,Total admissions,357
273,Westminster,London,2015,Total admissions,839
274,Bracknell Forest,South East,2015,Total admissions,812
275,Brighton And Hove,South East,2015,Total admissions,1501
276,Buckinghamshire,South East,2015,Total admissions,2511
277,East Sussex,South East,2015,Total admissions,2921
278,Hampshire,South East,2015,Total admissions,6775
279,Isle Of Wight,South East,2015,Total admissions,824
280,Kent,South East,2015,Total admissions,7824
281,Medway,South East,2015,Total admissions,3363
282,Milton Keynes,South East,2015,Total admissions,1641
283,Oxfordshire,South East,2015,Total admissions,2718
284,Portsmouth,South East,2015,Total admissions,1009
285,Reading,South East,2015,Total admissions,1162
286,Royal Of Windsor & Maidenhead,South East,2015,Total admissions,1320
287,Slough,South East,2015,Total admissions,1806
288,Southampton,South East,2015,Total admissions,3201
289,Surrey,South East,2015,Total admissions,3142
290,West Berkshire District,South East,2015,Total admissions,908
291,Wokingham,West Sussex,2015,Total admissions,870
292,Bath And North East Somerset,South West,2015,Total admissions,1200
293,Borough Of Poole,South West,2015,Total admissions,1377
294,Bournemouth,South West,2015,Total admissions,1608
295,Bristol,South West,2015,Total admissions,4495
296,Cornwall,South West,2015,Total admissions,9613
297,Devon,South West,2015,Total admissions,4991
298,Dorset,South West,2015,Total admissions,3154
299,Gloucestershire,South West,2015,Total admissions,1477
300,North Somerset District,South West,2015,Total admissions,1695
301,Plymouth,South West,2015,Total admissions,5005
302,Somerset,South West,2015,Total admissions,4234
303,South Gloucestershire,South West,2015,Total admissions,2209
304,Swindon,South West,2015,Total admissions,1195
305,The Of The Isles Of Scilly,South West,2015,Total admissions,27
306,Torbay,South West,2015,Total admissions,1872
307,Wiltshire,South West,2015,Total admissions,3946
308,Unknown,England,2016,Total admissions,139
309,Darlington,North East,2016,Total admissions,348
310,Durham,North East,2016,Total admissions,2553
311,Gateshead,North East,2016,Total admissions,1450
312,Hartlepool,North East,2016,Total admissions,530
313,Middlesbrough,North East,2016,Total admissions,661
314,Newcastle-Upon-Tyne,North East,2016,Total admissions,2287
315,North Tyneside,North East,2016,Total admissions,2926
316,Northumberland,North East,2016,Total admissions,4456
317,Redcar & Cleveland,North East,2016,Total admissions,625
318,South Tyneside,North East,2016,Total admissions,738
319,Stockton-On-Tees,North East,2016,Total admissions,958
320,Sunderland,North East,2016,Total admissions,1882
321,Blackburn With Darwen,North West,2016,Total admissions,1661
322,Blackpool,North West,2016,Total admissions,745
323,Bolton,North West,2016,Total admissions,1803
324,Bury,North West,2016,Total admissions,1122
325,Cheshire East,North West,2016,Total admissions,2218
326,Cheshire West And Chester,North West,2016,Total admissions,4128
327,Cumbria,North West,2016,Total admissions,3365
328,Halton,North West,2016,Total admissions,1351
329,Knowsley,North West,2016,Total admissions,1882
330,Lancashire,North West,2016,Total admissions,11245
331,Liverpool,North West,2016,Total admissions,3765
332,Manchester,North West,2016,Total admissions,4092
333,Oldham Metropolitian,North West,2016,Total admissions,1602
334,Rochdale,North West,2016,Total admissions,1566
335,Salford,North West,2016,Total admissions,4497
336,Sefton,North West,2016,Total admissions,2910
337,St Helens,North West,2016,Total admissions,2110
338,Stockport,North West,2016,Total admissions,2340
339,Tameside,North West,2016,Total admissions,2205
340,Trafford,North West,2016,Total admissions,1490
341,Warrington,North West,2016,Total admissions,1297
342,Wigan,North West,2016,Total admissions,3700
343,Wirral,North West,2016,Total admissions,9286
344,Yorkshire And The Humber,North West,2016,Total admissions,47064
345,Barnsley,North West,2016,Total admissions,881
346,Calderdale,North West,2016,Total admissions,1411
347,City Of Bradford,North West,2016,Total admissions,10070
348,Doncaster,North West,2016,Total admissions,1244
349,East Riding Of Yorkshire,North West,2016,Total admissions,1716
350,Kingston-Upon-Hull,North West,2016,Total admissions,1277
351,Kirklees,North West,2016,Total admissions,3574
352,Leeds,North West,2016,Total admissions,6453
353,North East Lincolnshire,North West,2016,Total admissions,2058
354,North Lincolnshire,North West,2016,Total admissions,1033
355,Rotherham,North Yorkshire,2016,Total admissions,2109
356,Sheffield,North Yorkshire,2016,Total admissions,3809
357,Wakefield,North Yorkshire,2016,Total admissions,5006
358,York,North Yorkshire,2016,Total admissions,1674
359,Derby,East Midlands,2016,Total admissions,2658
360,Derbyshire,East Midlands,2016,Total admissions,6902
361,Leicester,East Midlands,2016,Total admissions,1188
362,Leicestershire,East Midlands,2016,Total admissions,2603
363,Lincolnshire,East Midlands,2016,Total admissions,5911
364,Northamptonshire,East Midlands,2016,Total admissions,4099
365,Nottingham,East Midlands,2016,Total admissions,3782
366,Nottinghamshire,East Midlands,2016,Total admissions,7592
367,Rutland,East Midlands,2016,Total admissions,104
368,Birmingham,West Midlands,2016,Total admissions,9265
369,Coventry,West Midlands,2016,Total admissions,5281
370,Dudley,West Midlands,2016,Total admissions,4739
371,Herefordshire,West Midlands,2016,Total admissions,845
372,Sandwell,West Midlands,2016,Total admissions,2596
373,Shropshire,West Midlands,2016,Total admissions,2047
374,Solihull,West Midlands,2016,Total admissions,896
375,Staffordshire,West Midlands,2016,Total admissions,5299
376,Stoke-On-Trent,West Midlands,2016,Total admissions,1956
377,Telford And Wrekin,West Midlands,2016,Total admissions,1511
378,Walsall,West Midlands,2016,Total admissions,1707
379,Warwickshire,West Midlands,2016,Total admissions,6071
380,Wolverhampton,West Midlands,2016,Total admissions,2583
381,Worcestershire,West Midlands,2016,Total admissions,9416
382,East Of England,West Midlands,2016,Total admissions,49262
383,Bedford,West Midlands,2016,Total admissions,804
384,Cambridgeshire,West Midlands,2016,Total admissions,4393
385,Central Bedfordshire,West Midlands,2016,Total admissions,2434
386,Essex,West Midlands,2016,Total admissions,8965
387,Hertfordshire,West Midlands,2016,Total admissions,11722
388,Luton,West Midlands,2016,Total admissions,3734
389,Norfolk,West Midlands,2016,Total admissions,6232
390,Peterborough,West Midlands,2016,Total admissions,861
391,Southend-On-Sea,West Midlands,2016,Total admissions,578
392,Suffolk,West Midlands,2016,Total admissions,7365
393,Thurrock,West Midlands,2016,Total admissions,2174
394,Corporation Of The Of London,London,2016,Total admissions,26
395,Barking And Dagenham,London,2016,Total admissions,1226
396,Barnet,London,2016,Total admissions,1626
397,Bexley,London,2016,Total admissions,1327
398,Brent,London,2016,Total admissions,3015
399,Bromley,London,2016,Total admissions,953
400,Camden,London,2016,Total admissions,1097
401,Croydon,London,2016,Total admissions,1345
402,Ealing,London,2016,Total admissions,2316
403,Enfield,London,2016,Total admissions,2547
404,Greenwich,London,2016,Total admissions,1287
405,Hackney,London,2016,Total admissions,1897
406,Hammersmith And Fulham,London,2016,Total admissions,566
407,Haringey,London,2016,Total admissions,1650
408,Harrow,London,2016,Total admissions,2308
409,Havering,London,2016,Total admissions,1451
410,Hillingdon,London,2016,Total admissions,2428
411,Hounslow,London,2016,Total admissions,1080
412,Islington,London,2016,Total admissions,1667
413,Lambeth,London,2016,Total admissions,1513
414,Lewisham,London,2016,Total admissions,964
415,Merton,London,2016,Total admissions,700
416,Newham,London,2016,Total admissions,1671
417,Redbridge,London,2016,Total admissions,1364
418,Richmond Upon Thames,London,2016,Total admissions,460
419,Southwark,London,2016,Total admissions,1651
420,Sutton,London,2016,Total admissions,944
421,Tower Hamlets,London,2016,Total admissions,1102
422,Waltham Forest,London,2016,Total admissions,1999
423,Wandsworth,London,2016,Total admissions,910
424,Royal Of Kensington And Chelsea,London,2016,Total admissions,451
425,Royal Of Kingston-Upon-Thames,London,2016,Total admissions,428
426,Westminster,London,2016,Total admissions,924
427,Bracknell Forest,South East,2016,Total admissions,788
428,Brighton And Hove,South East,2016,Total admissions,1867
429,Buckinghamshire,South East,2016,Total admissions,3381
430,East Sussex,South East,2016,Total admissions,3185
431,Hampshire,South East,2016,Total admissions,8466
432,Isle Of Wight,South East,2016,Total admissions,1641
433,Kent,South East,2016,Total admissions,9121
434,Medway,South East,2016,Total admissions,3318
435,Milton Keynes,South East,2016,Total admissions,1666
436,Oxfordshire,South East,2016,Total admissions,3084
437,Portsmouth,South East,2016,Total admissions,1182
438,Reading,South East,2016,Total admissions,1486
439,Royal Of Windsor & Maidenhead,South East,2016,Total admissions,1740
440,Slough,South East,2016,Total admissions,2524
441,Southampton,South East,2016,Total admissions,4304
442,Surrey,South East,2016,Total admissions,4044
443,West Berkshire District,South East,2016,Total admissions,1151
444,Wokingham,West Sussex,2016,Total admissions,1112
445,Bath And North East Somerset,South West,2016,Total admissions,1275
446,Borough Of Poole,South West,2016,Total admissions,1956
447,Bournemouth,South West,2016,Total admissions,2414
448,Bristol,South West,2016,Total admissions,5275
449,Cornwall,South West,2016,Total admissions,11493
450,Devon,South West,2016,Total admissions,6897
451,Dorset,South West,2016,Total admissions,3928
452,Gloucestershire,South West,2016,Total admissions,1696
453,North Somerset District,South West,2016,Total admissions,2047
454,Plymouth,South West,2016,Total admissions,4468
455,Somerset,South West,2016,Total admissions,4622
456,South Gloucestershire,South West,2016,Total admissions,2651
457,Swindon,South West,2016,Total admissions,1986
458,The Of The Isles Of Scilly,South West,2016,Total admissions,28
459,Torbay,South West,2016,Total admissions,2523
460,Wiltshire,South West,2016,Total admissions,4869
461,Darlington,North East,2019,Total admissions,645
462,County Durham,North East,2019,Total admissions,3700
463,Gateshead,North East,2019,Total admissions,1915
464,Hartlepool,North East,2019,Total admissions,1220
465,Middlesbrough,North East,2019,Total admissions,880
466,Newcastle Upon Tyne,North East,2019,Total admissions,1985
467,North Tyneside,North East,2019,Total admissions,2745
468,Northumberland,North East,2019,Total admissions,4500
469,Redcar And Cleveland,North East,2019,Total admissions,875
470,South Tyneside,North East,2019,Total admissions,1025
471,Stockton-On-Tees,North East,2019,Total admissions,2120
472,Sunderland,North East,2019,Total admissions,2800
473,Blackburn With Darwen,North West,2019,Total admissions,3390
474,Blackpool,North West,2019,Total admissions,2425
475,Bolton,North West,2019,Total admissions,2170
476,Bury,North West,2019,Total admissions,2015
477,Cheshire East,North West,2019,Total admissions,5605
478,Cheshire West And Chester,North West,2019,Total admissions,5080
479,Cumbria,North West,2019,Total admissions,5245
480,Halton,North West,2019,Total admissions,1815
481,Knowsley,North West,2019,Total admissions,2135
482,Lancashire,North West,2019,Total admissions,18185
483,Liverpool,North West,2019,Total admissions,5990
484,Manchester,North West,2019,Total admissions,7055
485,Oldham,North West,2019,Total admissions,2790
486,Rochdale,North West,2019,Total admissions,2670
487,Salford,North West,2019,Total admissions,6215
488,Sefton,North West,2019,Total admissions,3105
489,St. Helens,North West,2019,Total admissions,2430
490,Stockport,North West,2019,Total admissions,6225
491,Tameside,North West,2019,Total admissions,2390
492,Trafford,North West,2019,Total admissions,3225
493,Warrington,North West,2019,Total admissions,2000
494,Wigan,North West,2019,Total admissions,8915
495,Wirral,North West,2019,Total admissions,11300
496,Yorkshire And The Humber,North West,2019,Total admissions,73575
497,Barnsley,North West,2019,Total admissions,1630
498,Calderdale,North West,2019,Total admissions,2810
499,Bradford,North West,2019,Total admissions,9980
500,Doncaster,North West,2019,Total admissions,4775
501,East Riding Of Yorkshire,North West,2019,Total admissions,4260
502,Kingston Upon Hull,North West,2019,Total admissions,2415
503,Kirklees,North West,2019,Total admissions,6660
504,Leeds,North West,2019,Total admissions,6810
505,North East Lincolnshire,North West,2019,Total admissions,1680
506,North Lincolnshire,North West,2019,Total admissions,1150
507,Rotherham,North Yorkshire,2019,Total admissions,3910
508,Sheffield,North Yorkshire,2019,Total admissions,5295
509,Wakefield,North Yorkshire,2019,Total admissions,7600
510,York,North Yorkshire,2019,Total admissions,5125
511,Derby,East Midlands,2019,Total admissions,4455
512,Derbyshire,East Midlands,2019,Total admissions,16090
513,Leicester,East Midlands,2019,Total admissions,4040
514,Leicestershire,East Midlands,2019,Total admissions,9705
515,Lincolnshire,East Midlands,2019,Total admissions,9325
516,Northamptonshire,East Midlands,2019,Total admissions,13465
517,Nottingham,East Midlands,2019,Total admissions,8510
518,Nottinghamshire,East Midlands,2019,Total admissions,22540
519,Rutland,East Midlands,2019,Total admissions,380
520,Birmingham,West Midlands,2019,Total admissions,14265
521,Coventry,West Midlands,2019,Total admissions,6515
522,Dudley,West Midlands,2019,Total admissions,6680
523,Herefordshire,West Midlands,2019,Total admissions,1785
524,Sandwell,West Midlands,2019,Total admissions,3910
525,Shropshire,West Midlands,2019,Total admissions,5200
526,Solihull,West Midlands,2019,Total admissions,2505
527,Staffordshire,West Midlands,2019,Total admissions,18025
528,Stoke-On-Trent,West Midlands,2019,Total admissions,5110
529,Telford And Wrekin,West Midlands,2019,Total admissions,3385
530,Walsall,West Midlands,2019,Total admissions,5285
531,Warwickshire,West Midlands,2019,Total admissions,11295
532,Wolverhampton,West Midlands,2019,Total admissions,6440
533,Worcestershire,West Midlands,2019,Total admissions,12285
534,East Of England,West Midlands,2019,Total admissions,66215
535,Bedford,West Midlands,2019,Total admissions,1340
536,Cambridgeshire,West Midlands,2019,Total admissions,6830
537,Central Bedfordshire,West Midlands,2019,Total admissions,2330
538,Essex,West Midlands,2019,Total admissions,12160
539,Hertfordshire,West Midlands,2019,Total admissions,15025
540,Luton,West Midlands,2019,Total admissions,2080
541,Norfolk,West Midlands,2019,Total admissions,11200
542,Peterborough,West Midlands,2019,Total admissions,1945
543,Southend-On-Sea,West Midlands,2019,Total admissions,1370
544,Suffolk,West Midlands,2019,Total admissions,10895
545,Thurrock,West Midlands,2019,Total admissions,1040
546,City Of London,London,2019,Total admissions,45
547,Barking And Dagenham,London,2019,Total admissions,2595
548,Barnet,London,2019,Total admissions,2290
549,Bexley,London,2019,Total admissions,2270
550,Brent,London,2019,Total admissions,4335
551,Bromley,London,2019,Total admissions,2730
552,Camden,London,2019,Total admissions,1265
553,Croydon,London,2019,Total admissions,3075
554,Ealing,London,2019,Total admissions,4575
555,Enfield,London,2019,Total admissions,2780
556,Greenwich,London,2019,Total admissions,2485
557,Hackney,London,2019,Total admissions,3685
558,Hammersmith And Fulham,London,2019,Total admissions,1810
559,Haringey,London,2019,Total admissions,2100
560,Harrow,London,2019,Total admissions,3140
561,Havering,London,2019,Total admissions,2975
562,Hillingdon,London,2019,Total admissions,2765
563,Hounslow,London,2019,Total admissions,2030
564,Islington,London,2019,Total admissions,1885
565,Lambeth,London,2019,Total admissions,3375
566,Lewisham,London,2019,Total admissions,2355
567,Merton,London,2019,Total admissions,1170
568,Newham,London,2019,Total admissions,2235
569,Redbridge,London,2019,Total admissions,2435
570,Richmond Upon Thames,London,2019,Total admissions,860
571,Southwark,London,2019,Total admissions,3690
572,Sutton,London,2019,Total admissions,1280
573,Tower Hamlets,London,2019,Total admissions,1875
574,Waltham Forest,London,2019,Total admissions,1985
