,Region,Major region,Year,variable,quantity
2811,North Staffordshire,West Midlands,2014,"Admissions per 100,000 population",276.24568953367094
2810,Herefordshire,West Midlands,2014,"Admissions per 100,000 population",288.64115369324526
2809,Heart Of Birmingham,West Midlands,2014,"Admissions per 100,000 population",699.1629069957058
2808,Dudley,West Midlands,2014,"Admissions per 100,000 population",1062.6921321198618
2807,Coventry,West Midlands,2014,"Admissions per 100,000 population",1507.3442405692379
2806,Birmingham East & North,West Midlands,2014,"Admissions per 100,000 population",344.76680650051117
2805,Nottinghamshire,East Midlands,2014,"Admissions per 100,000 population",428.3214577770917
2804,Nottingham,East Midlands,2014,"Admissions per 100,000 population",367.8853829726323
2803,Northampton,East Midlands,2014,"Admissions per 100,000 population",269.1770646154644
2802,Lincolnshire,East Midlands,2014,"Admissions per 100,000 population",591.9469561992711
2801,Leicestershire,East Midlands,2014,"Admissions per 100,000 population",254.07979557465592
2800,Leicester,East Midlands,2014,"Admissions per 100,000 population",256.95710606230676
2799,Derbyshire,East Midlands,2014,"Admissions per 100,000 population",461.2394742873572
2774,Sefton,North West,2014,"Admissions per 100,000 population",855.2062459621344
1870,Calderdale,North West,2014,Admissions count: women,797.0
2773,Salford,North West,2014,"Admissions per 100,000 population",784.2652257907689
2771,North Lancashire,North West,2014,"Admissions per 100,000 population",377.16137096448216
2745,County Durham,North East,2014,"Admissions per 100,000 population",436.6522805334955
4726,Somerset,South West,2014,"Admissions per 100,000 population: women",977.068280910804
1985,Wiltshire,South West,2014,Admissions count: women,1819.0
1984,Torbay,South West,2014,Admissions count: women,765.0
1983,Swindon,South West,2014,Admissions count: women,501.0
1982,South Gloucestershire,South West,2014,Admissions count: women,866.0
1981,Somerset,South West,2014,Admissions count: women,2660.0
1980,Plymouth,South West,2014,Admissions count: women,3316.0
1979,North Somerset,South West,2014,Admissions count: women,834.0
2746,Darlington,North East,2014,"Admissions per 100,000 population",268.0330353083801
1978,Gloucestershire,South West,2014,Admissions count: women,779.0
1976,Devon,South West,2014,Admissions count: women,3320.0
1975,Cornwall & Isles Of Scilly,South West,2014,Admissions count: women,4926.0
1974,Bristol,South West,2014,Admissions count: women,1862.0
1973,Bournemouth & Poole,South West,2014,Admissions count: women,838.0
1972,Bath And North East Somerset,South West,2014,Admissions count: women,722.0
1971,Southampton,West Sussex,2014,Admissions count: women,1750.0
1970,Portsmouth,West Sussex,2014,Admissions count: women,620.0
1969,Oxfordshire,West Sussex,2014,Admissions count: women,1745.0
1968,Milton Keynes,West Sussex,2014,Admissions count: women,793.0
1977,Dorset,South West,2014,Admissions count: women,878.0
2747,Gateshead,North East,2014,"Admissions per 100,000 population",613.4295654083624
2748,Hartlepool,North East,2014,"Admissions per 100,000 population",525.5842237859439
2749,Middlesbrough,North East,2014,"Admissions per 100,000 population",304.98381128584646
2770,Manchester,North West,2014,"Admissions per 100,000 population",433.48405852432484
2769,Liverpool,North West,2014,"Admissions per 100,000 population",687.4173209407803
2768,Knowsley,North West,2014,"Admissions per 100,000 population",950.6315839975875
2767,"Heywood, Middleton & Rochdale",North West,2014,"Admissions per 100,000 population",434.57950540039354
2766,Halton & St. Helens,North West,2014,"Admissions per 100,000 population",733.2454412922123
2765,East Lancashire,North West,2014,"Admissions per 100,000 population",510.32412902416195
2764,Cumbria,North West,2014,"Admissions per 100,000 population",497.9822615077119
2763,Central Lancashire,North West,2014,"Admissions per 100,000 population",942.7887464353942
2762,Central & Eastern Cheshire,North West,2014,"Admissions per 100,000 population",537.706217658996
2761,Bury,North West,2014,"Admissions per 100,000 population",392.0786098736935
2760,Bolton,North West,2014,"Admissions per 100,000 population",337.54543880907045
2759,Blackpool,North West,2014,"Admissions per 100,000 population",423.704954954955
2758,Blackburn With Darwen,North West,2014,"Admissions per 100,000 population",585.8171302410316
2757,"Ashton, Leigh & Wigan",North West,2014,"Admissions per 100,000 population",610.7719679871244
2756,Sunderland,North East,2014,"Admissions per 100,000 population",552.4279954963135
2755,Stockton-On-Tees,North East,2014,"Admissions per 100,000 population",414.9637167403453
2754,South Tyneside,North East,2014,"Admissions per 100,000 population",438.0281309899841
2753,Redcar And Cleveland,North East,2014,"Admissions per 100,000 population",307.77425941818825
2752,Northumberland,North East,2014,"Admissions per 100,000 population",1383.9090926336958
2751,North Tyneside,North East,2014,"Admissions per 100,000 population",1337.9322684214187
2750,Newcastle,North East,2014,"Admissions per 100,000 population",824.1010132859416
2772,Oldham,North West,2014,"Admissions per 100,000 population",378.8467602606181
2820,Warwickshire,West Midlands,2014,"Admissions per 100,000 population",825.1700655378974
1869,Bradford & Airedale,North West,2014,Admissions count: women,5205.0
1867,Yorkshire And The Humber,North West,2014,Admissions count: women,18715.0
985,South Birmingham,West Midlands,2014,Admissions count: men,579.0
984,Solihull,West Midlands,2014,Admissions count: men,158.0
983,Shropshire,West Midlands,2014,Admissions count: men,365.0
982,Sandwell,West Midlands,2014,Admissions count: men,774.0
981,North Staffordshire,West Midlands,2014,Admissions count: men,156.0
980,Herefordshire,West Midlands,2014,Admissions count: men,290.0
979,Heart Of Birmingham,West Midlands,2014,Admissions count: men,508.0
978,Dudley,West Midlands,2014,Admissions count: men,893.0
977,Coventry,West Midlands,2014,Admissions count: men,1453.0
986,South Staffordshire,West Midlands,2014,Admissions count: men,1115.0
976,Birmingham East & North,West Midlands,2014,Admissions count: men,402.0
974,Nottingham,East Midlands,2014,Admissions count: men,434.0
973,Northampton,East Midlands,2014,Admissions count: men,696.0
972,Lincolnshire,East Midlands,2014,Admissions count: men,1517.0
971,Leicestershire,East Midlands,2014,Admissions count: men,699.0
970,Leicester,East Midlands,2014,Admissions count: men,305.0
969,Derbyshire,East Midlands,2014,Admissions count: men,859.0
968,Derby,East Midlands,2014,Admissions count: men,187.0
967,Bassetlaw,East Midlands,2014,Admissions count: men,203.0
966,Wakefield District,North West,2014,Admissions count: men,328.0
975,Nottinghamshire,East Midlands,2014,Admissions count: men,1074.0
965,Sheffield,North West,2014,Admissions count: men,958.0
987,Stoke-On-Trent,West Midlands,2014,Admissions count: men,230.0
989,Walsall,West Midlands,2014,Admissions count: men,626.0
1009,Barnet,London,2014,Admissions count: men,540.0
1008,Barking And Dagenham,London,2014,Admissions count: men,311.0
1007,West Essex,West Midlands,2014,Admissions count: men,675.0
1006,Suffolk,West Midlands,2014,Admissions count: men,1497.0
1005,South West Essex,West Midlands,2014,Admissions count: men,867.0
1004,South East Essex,West Midlands,2014,Admissions count: men,456.0
1003,Peterborough,West Midlands,2014,Admissions count: men,329.0
1002,North East Essex,West Midlands,2014,Admissions count: men,426.0
1001,Norfolk,West Midlands,2014,Admissions count: men,1504.0
988,Telford And Wrekin,West Midlands,2014,Admissions count: men,201.0
1000,Mid Essex,West Midlands,2014,Admissions count: men,429.0
998,Hertfordshire,West Midlands,2014,Admissions count: men,3476.0
997,Great Yarmouth & Waveney,West Midlands,2014,Admissions count: men,631.0
996,Cambridgeshire,West Midlands,2014,Admissions count: men,1576.0
995,Bedfordshire,West Midlands,2014,Admissions count: men,881.0
994,East Of England,West Midlands,2014,Admissions count: men,13374.0
993,East Of England,West Midlands,2014,Admissions count: men,13374.0
992,Worcestershire,West Midlands,2014,Admissions count: men,2309.0
991,Wolverhampton,West Midlands,2014,Admissions count: men,590.0
990,Warwickshire,West Midlands,2014,Admissions count: men,1619.0
999,Luton,West Midlands,2014,Admissions count: men,627.0
964,Rotherham,North West,2014,Admissions count: men,409.0
963,North Yorkshire & York,North West,2014,Admissions count: men,938.0
962,North Lincolnshire,North West,2014,Admissions count: men,157.0
936,Halton & St. Helens,North West,2014,Admissions count: men,699.0
935,East Lancashire,North West,2014,Admissions count: men,694.0
934,Cumbria,North West,2014,Admissions count: men,811.0
933,Central Lancashire,North West,2014,Admissions count: men,1386.0
932,Central & Eastern Cheshire,North West,2014,Admissions count: men,446.0
931,Bury,North West,2014,Admissions count: men,340.0
930,Bolton,North West,2014,Admissions count: men,404.0
929,Blackpool,North West,2014,Admissions count: men,242.0
928,Blackburn With Darwen,North West,2014,Admissions count: men,298.0
937,"Heywood, Middleton & Rochdale",North West,2014,Admissions count: men,392.0
927,"Ashton, Leigh & Wigan",North West,2014,Admissions count: men,478.0
925,Stockton-On-Tees,North East,2014,Admissions count: men,262.0
924,South Tyneside,North East,2014,Admissions count: men,257.0
923,Redcar And Cleveland,North East,2014,Admissions count: men,141.0
922,Northumberland,North East,2014,Admissions count: men,1638.0
921,North Tyneside,North East,2014,Admissions count: men,973.0
920,Newcastle,North East,2014,Admissions count: men,815.0
919,Middlesbrough,North East,2014,Admissions count: men,170.0
918,Hartlepool,North East,2014,Admissions count: men,163.0
917,Gateshead,North East,2014,Admissions count: men,396.0
926,Sunderland,North East,2014,Admissions count: men,530.0
938,Knowsley,North West,2014,Admissions count: men,417.0
939,Liverpool,North West,2014,Admissions count: men,936.0
940,Manchester,North West,2014,Admissions count: men,685.0
961,North East Lincolnshire,North West,2014,Admissions count: men,263.0
960,Leeds,North West,2014,Admissions count: men,870.0
959,Kirklees,North West,2014,Admissions count: men,514.0
958,Hull,North West,2014,Admissions count: men,244.0
957,East Riding Of Yorkshire,North West,2014,Admissions count: men,407.0
956,Doncaster,North West,2014,Admissions count: men,443.0
955,Calderdale,North West,2014,Admissions count: men,326.0
954,Bradford & Airedale,North West,2014,Admissions count: men,2600.0
953,Barnsley,North West,2014,Admissions count: men,354.0
952,Yorkshire And The Humber,North West,2014,Admissions count: men,8813.0
951,Yorkshire And The Humber,North West,2014,Admissions count: men,8813.0
950,Wirral,North West,2014,Admissions count: men,1554.0
949,Western Cheshire,North West,2014,Admissions count: men,378.0
948,Warrington,North West,2014,Admissions count: men,316.0
947,Trafford,North West,2014,Admissions count: men,246.0
946,Tameside,North West,2014,Admissions count: men,647.0
945,Stockport,North West,2014,Admissions count: men,465.0
944,Sefton,North West,2014,Admissions count: men,716.0
943,Salford,North West,2014,Admissions count: men,648.0
942,Oldham,North West,2014,Admissions count: men,360.0
941,North Lancashire,North West,2014,Admissions count: men,441.0
1010,Bexley,London,2014,Admissions count: men,302.0
1011,Brent,London,2014,Admissions count: men,1229.0
1012,Bromley,London,2014,Admissions count: men,390.0
1013,Camden,London,2014,Admissions count: men,265.0
1841,Sunderland,North East,2014,Admissions count: women,991.0
1840,Stockton-On-Tees,North East,2014,Admissions count: women,534.0
1839,South Tyneside,North East,2014,Admissions count: women,392.0
1838,Redcar And Cleveland,North East,2014,Admissions count: women,275.0
1837,Northumberland,North East,2014,Admissions count: women,2739.0
1836,North Tyneside,North East,2014,Admissions count: women,1719.0
1835,Newcastle,North East,2014,Admissions count: women,1485.0
1834,Middlesbrough,North East,2014,Admissions count: women,252.0
1833,Hartlepool,North East,2014,Admissions count: women,321.0
1842,"Ashton, Leigh & Wigan",North West,2014,Admissions count: women,1465.0
1832,Gateshead,North East,2014,Admissions count: women,833.0
1830,County Durham,North East,2014,Admissions count: women,1390.0
1070,Wiltshire,South West,2014,Admissions count: men,911.0
1069,Torbay,South West,2014,Admissions count: men,478.0
1068,Swindon,South West,2014,Admissions count: men,333.0
1067,South Gloucestershire,South West,2014,Admissions count: men,530.0
1066,Somerset,South West,2014,Admissions count: men,905.0
1065,Plymouth,South West,2014,Admissions count: men,1535.0
1064,North Somerset,South West,2014,Admissions count: men,387.0
1063,Gloucestershire,South West,2014,Admissions count: men,590.0
1831,Darlington,North East,2014,Admissions count: women,184.0
1843,Blackburn With Darwen,North West,2014,Admissions count: women,567.0
1844,Blackpool,North West,2014,Admissions count: women,360.0
1845,Bolton,North West,2014,Admissions count: women,532.0
1866,Yorkshire And The Humber,North West,2014,Admissions count: women,18715.0
1865,Wirral,North West,2014,Admissions count: women,1911.0
1864,Western Cheshire,North West,2014,Admissions count: women,602.0
1863,Warrington,North West,2014,Admissions count: women,405.0
1862,Trafford,North West,2014,Admissions count: women,432.0
1861,Tameside,North West,2014,Admissions count: women,1232.0
1860,Stockport,North West,2014,Admissions count: women,799.0
1859,Sefton,North West,2014,Admissions count: women,1627.0
1858,Salford,North West,2014,Admissions count: women,1191.0
1857,Oldham,North West,2014,Admissions count: women,493.0
1856,North Lancashire,North West,2014,Admissions count: women,771.0
1855,Manchester,North West,2014,Admissions count: women,1495.0
1854,Liverpool,North West,2014,Admissions count: women,2265.0
1853,Knowsley,North West,2014,Admissions count: women,970.0
1852,"Heywood, Middleton & Rochdale",North West,2014,Admissions count: women,529.0
1851,Halton & St. Helens,North West,2014,Admissions count: women,1509.0
1850,East Lancashire,North West,2014,Admissions count: women,1258.0
1849,Cumbria,North West,2014,Admissions count: women,1678.0
1848,Central Lancashire,North West,2014,Admissions count: women,3019.0
1847,Central & Eastern Cheshire,North West,2014,Admissions count: women,2050.0
1846,Bury,North West,2014,Admissions count: women,387.0
1062,Dorset,South West,2014,Admissions count: men,575.0
1868,Barnsley,North West,2014,Admissions count: women,499.0
1061,Devon,South West,2014,Admissions count: men,2047.0
1059,Bristol,South West,2014,Admissions count: men,747.0
1033,Southwark,London,2014,Admissions count: men,351.0
1032,Richmond Upon Thames,London,2014,Admissions count: men,139.0
1031,Redbridge,London,2014,Admissions count: men,502.0
1030,Newham,London,2014,Admissions count: men,425.0
1029,Lewisham,London,2014,Admissions count: men,273.0
1028,Lambeth,London,2014,Admissions count: men,329.0
1027,Kingston,London,2014,Admissions count: men,199.0
1026,Kensington And Chelsea,London,2014,Admissions count: men,138.0
1025,Islington,London,2014,Admissions count: men,399.0
1034,Sutton,London,2014,Admissions count: men,485.0
1024,Hounslow,London,2014,Admissions count: men,269.0
1022,Havering,London,2014,Admissions count: men,420.0
1021,Harrow,London,2014,Admissions count: men,1050.0
1020,Haringey,London,2014,Admissions count: men,408.0
1019,Hammersmith And Fulham,London,2014,Admissions count: men,231.0
1018,Greenwich,London,2014,Admissions count: men,310.0
1017,Enfield,London,2014,Admissions count: men,581.0
1016,Ealing,London,2014,Admissions count: men,692.0
1015,Croydon,London,2014,Admissions count: men,526.0
1014,City & Hackney,London,2014,Admissions count: men,404.0
1023,Hillingdon,London,2014,Admissions count: men,577.0
1035,Tower Hamlets,London,2014,Admissions count: men,232.0
1036,Waltham Forest,London,2014,Admissions count: men,758.0
1037,Wandsworth,London,2014,Admissions count: men,283.0
1058,Bournemouth & Poole,South West,2014,Admissions count: men,419.0
1057,Bath And North East Somerset,South West,2014,Admissions count: men,345.0
1056,Southampton,West Sussex,2014,Admissions count: men,601.0
1055,Portsmouth,West Sussex,2014,Admissions count: men,332.0
1054,Oxfordshire,West Sussex,2014,Admissions count: men,720.0
1053,Milton Keynes,West Sussex,2014,Admissions count: men,363.0
1052,Isle Of Wight,West Sussex,2014,Admissions count: men,197.0
1051,Hampshire,West Sussex,2014,Admissions count: men,1622.0
1050,Buckinghamshire,West Sussex,2014,Admissions count: men,798.0
1049,Berkshire West,West Sussex,2014,Admissions count: men,631.0
1048,Berkshire East,West Sussex,2014,Admissions count: men,884.0
1047,South Central,West Sussex,2014,Admissions count: men,6150.0
1046,West Kent,South East,2014,Admissions count: men,1043.0
1045,Surrey,South East,2014,Admissions count: men,941.0
1044,Medway,South East,2014,Admissions count: men,672.0
1043,Hastings & Rother,South East,2014,Admissions count: men,438.0
1042,Eastern & Coastal Kent,South East,2014,Admissions count: men,927.0
1041,East Sussex Downs & Weald,South East,2014,Admissions count: men,603.0
1040,Brighton And Hove,South East,2014,Admissions count: men,527.0
1039,South East Coast,South East,2014,Admissions count: men,7130.0
1038,Westminster,London,2014,Admissions count: men,263.0
1060,Cornwall & Isles Of Scilly,South West,2014,Admissions count: men,2462.0
2821,Wolverhampton,West Midlands,2014,"Admissions per 100,000 population",751.6449738245041
2822,Worcestershire,West Midlands,2014,"Admissions per 100,000 population",1191.9365571337041
2823,East Of England,West Midlands,2014,"Admissions per 100,000 population",603.4540696347481
4603,Salford,North West,2014,"Admissions per 100,000 population: women",1015.3885502365829
4602,Oldham,North West,2014,"Admissions per 100,000 population: women",429.3564878116753
4601,North Lancashire,North West,2014,"Admissions per 100,000 population: women",465.1836298803555
4600,Manchester,North West,2014,"Admissions per 100,000 population: women",598.5290997241561
4599,Liverpool,North West,2014,"Admissions per 100,000 population: women",962.9733556113923
4598,Knowsley,North West,2014,"Admissions per 100,000 population: women",1265.8723426468478
4597,"Heywood, Middleton & Rochdale",North West,2014,"Admissions per 100,000 population: women",489.3164369623532
4596,Halton & St. Helens,North West,2014,"Admissions per 100,000 population: women",982.3707098588616
4595,East Lancashire,North West,2014,"Admissions per 100,000 population: women",647.342448271781
4604,Sefton,North West,2014,"Admissions per 100,000 population: women",1140.31398934679
4594,Cumbria,North West,2014,"Admissions per 100,000 population: women",661.3042433032108
4592,Central & Eastern Cheshire,North West,2014,"Admissions per 100,000 population: women",866.4375890211792
4591,Bury,North West,2014,"Admissions per 100,000 population: women",408.654607659898
4590,Bolton,North West,2014,"Admissions per 100,000 population: women",379.2415169660679
4589,Blackpool,North West,2014,"Admissions per 100,000 population: women",497.6981460744058
4588,Blackburn With Darwen,North West,2014,"Admissions per 100,000 population: women",765.8539879786587
4587,"Ashton, Leigh & Wigan",North West,2014,"Admissions per 100,000 population: women",915.2588964414234
4586,Sunderland,North East,2014,"Admissions per 100,000 population: women",700.5860603875492
4585,Stockton-On-Tees,North East,2014,"Admissions per 100,000 population: women",546.8229993343915
4584,South Tyneside,North East,2014,"Admissions per 100,000 population: women",511.67586900053516
4593,Central Lancashire,North West,2014,"Admissions per 100,000 population: women",1279.0042492257767
4583,Redcar And Cleveland,North East,2014,"Admissions per 100,000 population: women",395.6265285570422
4605,Stockport,North West,2014,"Admissions per 100,000 population: women",551.6850906931622
4607,Trafford,North West,2014,"Admissions per 100,000 population: women",372.6386612611059
4627,Bassetlaw,East Midlands,2014,"Admissions per 100,000 population: women",395.31247254774496
4626,Wakefield District,North West,2014,"Admissions per 100,000 population: women",282.68466225197426
4625,Sheffield,North West,2014,"Admissions per 100,000 population: women",1131.019959386427
4624,Rotherham,North West,2014,"Admissions per 100,000 population: women",778.9515403728602
4623,North Yorkshire & York,North West,2014,"Admissions per 100,000 population: women",355.34031709939933
4622,North Lincolnshire,North West,2014,"Admissions per 100,000 population: women",376.28897063257557
4621,North East Lincolnshire,North West,2014,"Admissions per 100,000 population: women",1094.4462029169001
4620,Leeds,North West,2014,"Admissions per 100,000 population: women",604.7096270086212
4619,Kirklees,North West,2014,"Admissions per 100,000 population: women",493.68531181108244
4606,Tameside,North West,2014,"Admissions per 100,000 population: women",956.462331532203
4618,Hull,North West,2014,"Admissions per 100,000 population: women",268.40910869395105
4616,Doncaster,North West,2014,"Admissions per 100,000 population: women",431.92316726257275
4615,Calderdale,North West,2014,"Admissions per 100,000 population: women",763.4392122303536
4614,Bradford & Airedale,North West,2014,"Admissions per 100,000 population: women",1959.1606285875598
4613,Barnsley,North West,2014,"Admissions per 100,000 population: women",423.2472136931924
4612,Yorkshire And The Humber,North West,2014,"Admissions per 100,000 population: women",696.6979532380354
4611,Yorkshire And The Humber,North West,2014,"Admissions per 100,000 population: women",696.6979532380354
4610,Wirral,North West,2014,"Admissions per 100,000 population: women",1151.0384040861563
4609,Western Cheshire,North West,2014,"Admissions per 100,000 population: women",496.0570877658479
4608,Warrington,North West,2014,"Admissions per 100,000 population: women",396.26241377623404
4617,East Riding Of Yorkshire,North West,2014,"Admissions per 100,000 population: women",310.4264710180936
4582,Northumberland,North East,2014,"Admissions per 100,000 population: women",1690.2816518970155
4581,North Tyneside,North East,2014,"Admissions per 100,000 population: women",1650.7101222428148
